record_status,dependence_family_id,provider,basin_context,petroleum_field,nopta_well_id,well_name,archive_names,dependence_rule,cross_row_merge,component_branch_retained_within_family,evidence_reference,decision,reviewer,decision_datetime_utc,numeric_ROP_accessed
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7876,NOPIMS,Browse Basin,Ichthys,7876,BDC 2 04 Phase 2,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7879,NOPIMS,Browse Basin,Ichthys,7879,BDC 1D 02,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_804,NOPIMS,Browse Basin,Ichthys,804,BDC 2 01 and ST1,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,true,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7354,NOPIMS,Northern Carnarvon Basin,Jansz-Io,7354,JZI 1C,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7451,NOPIMS,Northern Carnarvon Basin,Jansz-Io,7451,JZI 3C,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6740,NOPIMS,Northern Carnarvon Basin,Macedon,6740,Macedon 10,P00636911.zip,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6747,NOPIMS,Northern Carnarvon Basin,Macedon,6747,Macedon 9,P00636910.zip,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7019,NOPIMS,Bonaparte Basin,Montara,7019,Montara H5 ST2,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,true,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7021,NOPIMS,Bonaparte Basin,Montara,7021,Montara H4,D00013848.zip,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7070,NOPIMS,Bonaparte Basin,Montara,7070,Montara H2 Phase 2,D00013604.zip,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7071,NOPIMS,Bonaparte Basin,Montara,7071,Montara H3 ST1 Phase 2,D00013602.zip,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,true,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7466,NOPIMS,Bonaparte Basin,Montara,7466,Montara H6,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6896,NOPIMS,Browse Basin,Prelude,6896,Prelude P3,D00017019.zip,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6898,NOPIMS,Browse Basin,Prelude,6898,Prelude P4,D00017023.zip,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6900,NOPIMS,Browse Basin,Prelude,6900,Prelude P6,D00017033.zip,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6355,NOPIMS,Northern Carnarvon Basin,Scarborough,6355,Scarborough 5,D00010755.zip,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6360|6361,NOPIMS,Northern Carnarvon Basin,Scarborough,6360|6361,Scarborough 4/4A,D00010740.zip,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_810,NOPIMS,Northern Carnarvon Basin,Scarborough,810,SCA 03,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6963,NOPIMS,Otway Basin,Thylacine,6963,Thylacine North 1,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6970,NOPIMS,Otway Basin,Thylacine,6970,Thylacine North 2,,ONE_TRACEABLE_NOPTA_WELL_ID_PER_CONSERVATIVE_FAMILY,false,not_applicable,0725_principal_dependence_cohort_review_v1.csv,ACCEPTED_AS_PROPOSED,Principal researcher,2026-07-25T10:02:38Z,false
