diagnostic,case_id,mechanism_isolated,repetitions,mean_distortion,median_distortion,min_distortion,max_distortion,positive_fraction
dependence,DEP_F15F15S,False,5,3.436775134048861,3.3729291542163056,2.255194646394992,4.558710568127279,1.0
dependence,DEP_F15F15S,True,5,3.9367417647866745,3.7232230791578296,3.136607750176047,4.719685345526945,1.0
dependence,DEP_F7F9,False,5,12.999807844405936,12.892382834338958,11.882024319711299,14.409477439012086,1.0
dependence,DEP_F7F9,True,5,12.647310619327657,12.425270750568314,11.756235205749203,13.909293704049732,1.0
split,SPLIT_F14,True,5,0.31098891526049427,0.42711264905502233,-1.2540940524751676,1.2754268852104502,0.6
split,SPLIT_F15,True,5,4.431131406078161,4.174243050566007,3.2564034561036452,5.67602293903588,1.0
split,SPLIT_F5,True,5,1.902045738154205,1.701823432116596,1.2152335538165033,2.852462288845599,1.0
split,SPLIT_F7F9,True,5,8.679718816297605,8.835680069502667,7.238995010140615,9.379884697344965,1.0
split,SPLIT_F9A,True,5,-0.3367426188815902,-0.4222823157495288,-0.6125862358669298,0.09000030899785472,0.2
