diagnostic,case_id,seed,condition_a,condition_b,mae_a,mae_b,distortion_a_minus_b,training_rows_a,training_rows_b,test_rows,scoring_points,scoring_coverage_m,mechanism_isolated,claim_scope
dependence,DEP_F7F9,20260724,audited_family_exclusion,nominal_file_exclusion,22.517480670060507,10.635456350349209,11.882024319711299,16000,24000,1747,1747,99.90999999999997,False,identified dependence case; operational
dependence,DEP_F7F9,20260724,audited_family_exclusion,nominal_file_exclusion,22.5174806700605,10.761245464311298,11.756235205749203,16000,16000,1747,1747,99.90999999999997,True,identified dependence case; matched_training_size
dependence,DEP_F7F9,20260725,audited_family_exclusion,nominal_file_exclusion,24.905907052904787,10.496429613892701,14.409477439012086,16000,24000,1747,1747,99.90999999999997,False,identified dependence case; operational
dependence,DEP_F7F9,20260725,audited_family_exclusion,nominal_file_exclusion,24.905907052904794,10.996613348855062,13.909293704049732,16000,16000,1747,1747,99.90999999999997,True,identified dependence case; matched_training_size
dependence,DEP_F7F9,20260726,audited_family_exclusion,nominal_file_exclusion,23.214084452524258,10.3217016181853,12.892382834338958,16000,24000,1747,1747,99.90999999999997,False,identified dependence case; operational
dependence,DEP_F7F9,20260726,audited_family_exclusion,nominal_file_exclusion,23.214084452524254,10.78881370195594,12.425270750568314,16000,16000,1747,1747,99.90999999999997,True,identified dependence case; matched_training_size
dependence,DEP_F15F15S,20260722,audited_family_exclusion,nominal_file_exclusion,8.88325580101395,4.634494541024818,4.2487612599891325,16000,24000,1792,1792,99.92000000000007,False,identified dependence case; operational
dependence,DEP_F15F15S,20260722,audited_family_exclusion,nominal_file_exclusion,8.883255801013933,4.190998377859779,4.692257423154154,16000,16000,1792,1792,99.92000000000007,True,identified dependence case; matched_training_size
dependence,DEP_F15F15S,20260723,audited_family_exclusion,nominal_file_exclusion,8.991201642248695,4.432491074121416,4.558710568127279,16000,24000,1792,1792,99.92000000000007,False,identified dependence case; operational
dependence,DEP_F15F15S,20260723,audited_family_exclusion,nominal_file_exclusion,8.991201642248688,4.271516296721743,4.719685345526945,16000,16000,1792,1792,99.92000000000007,True,identified dependence case; matched_training_size
dependence,DEP_F15F15S,20260724,audited_family_exclusion,nominal_file_exclusion,7.792991300179663,5.044711258663067,2.7482800415165958,16000,24000,1792,1792,99.92000000000007,False,identified dependence case; operational
dependence,DEP_F15F15S,20260724,audited_family_exclusion,nominal_file_exclusion,7.792991300179657,4.069768221021827,3.7232230791578296,16000,16000,1792,1792,99.92000000000007,True,identified dependence case; matched_training_size
dependence,DEP_F15F15S,20260725,audited_family_exclusion,nominal_file_exclusion,7.246931236971278,4.991736590576286,2.255194646394992,16000,24000,1792,1792,99.92000000000007,False,identified dependence case; operational
dependence,DEP_F15F15S,20260725,audited_family_exclusion,nominal_file_exclusion,7.246931236971274,4.1103234867952265,3.136607750176047,16000,16000,1792,1792,99.92000000000007,True,identified dependence case; matched_training_size
dependence,DEP_F15F15S,20260726,audited_family_exclusion,nominal_file_exclusion,7.902905997209069,4.529976842992763,3.3729291542163056,16000,24000,1792,1792,99.92000000000007,False,identified dependence case; operational
dependence,DEP_F15F15S,20260726,audited_family_exclusion,nominal_file_exclusion,7.902905997209066,4.490970771290671,3.411935225918395,16000,16000,1792,1792,99.92000000000007,True,identified dependence case; matched_training_size
