basin_context,field,scorable_families,field_transfer_gain_m_per_h,field_mean_family_log_MAE_ratio
Bonaparte,Montara,3,0.2289481623770051,-0.020154143663146957
Browse,Ichthys,2,0.8093745795829292,-0.010619609289921596
Browse,Prelude,3,2.117209800980815,-0.14825626780891196
Gippsland,Cobia,2,3.1700491868915606,-0.08125823321108921
Gippsland,Fortescue,2,1.4760532625118792,-0.025045158711030968
Northern Carnarvon,Gorgon,3,3.7330956076867494,-0.09188613253856148
Otway,Geographe,2,1.7250586448539762,-0.14125336078692913
Otway,Thylacine,2,3.3151590103317234,-0.22608956947877673
