candidate_id,contrast,omitted_basin,omitted_field,estimate,warning_seed_count,fit_warning,self_comparison
HistGB_lr005_leaf15,c_vs_source_median,Otway Basin,Geographe,0.6930302402653606,0,none,False
HistGB_lr005_leaf15,c_vs_source_median,Otway Basin,Thylacine,0.5343233585546014,0,none,False
HistGB_lr005_leaf15,c_vs_frozen_et,Bonaparte Basin,Montara,-0.9700561574193267,0,none,False
HistGB_lr005_leaf15,c_vs_frozen_et,Browse Basin,Ichthys,-1.189449924859156,0,none,False
HistGB_lr005_leaf15,c_vs_frozen_et,Browse Basin,Prelude,-1.4524818798091332,0,none,False
HistGB_lr005_leaf15,c_vs_frozen_et,Gippsland Basin,Cobia,-1.4005382078212325,0,none,False
HistGB_lr005_leaf15,c_vs_frozen_et,Gippsland Basin,Fortescue,-1.4194899476559353,0,none,False
HistGB_lr005_leaf15,c_vs_frozen_et,Northern Carnarvon Basin,Gorgon,-1.3459013294343585,0,none,False
HistGB_lr005_leaf15,c_vs_frozen_et,Otway Basin,Geographe,-1.4283825612150187,0,none,False
HistGB_lr005_leaf15,c_vs_frozen_et,Otway Basin,Thylacine,-1.3599322478575286,0,none,False
HistGB_lr008_leaf31,c_vs_md_only,Bonaparte Basin,Montara,-2.2657881893911083,0,none,False
HistGB_lr008_leaf31,c_vs_md_only,Browse Basin,Ichthys,-2.208894062703427,0,none,False
HistGB_lr008_leaf31,c_vs_md_only,Browse Basin,Prelude,-1.9834573300150975,0,none,False
HistGB_lr008_leaf31,c_vs_md_only,Gippsland Basin,Cobia,-1.7391520442898247,0,none,False
HistGB_lr008_leaf31,c_vs_md_only,Gippsland Basin,Fortescue,-2.2904451465485756,0,none,False
HistGB_lr008_leaf31,c_vs_md_only,Northern Carnarvon Basin,Gorgon,-1.8578602711210166,0,none,False
HistGB_lr008_leaf31,c_vs_md_only,Otway Basin,Geographe,-2.448384545048079,0,none,False
HistGB_lr008_leaf31,c_vs_md_only,Otway Basin,Thylacine,-2.3854709987514022,0,none,False
HistGB_lr008_leaf31,c_vs_source_median,Bonaparte Basin,Montara,0.6042418772465847,0,none,False
HistGB_lr008_leaf31,c_vs_source_median,Browse Basin,Ichthys,0.3402653918009498,0,none,False
HistGB_lr008_leaf31,c_vs_source_median,Browse Basin,Prelude,-0.020963109573575802,0,none,False
HistGB_lr008_leaf31,c_vs_source_median,Gippsland Basin,Cobia,-0.05995149673825522,0,none,False
HistGB_lr008_leaf31,c_vs_source_median,Gippsland Basin,Fortescue,0.05299049948720299,0,none,False
HistGB_lr008_leaf31,c_vs_source_median,Northern Carnarvon Basin,Gorgon,-0.11615359720712817,0,none,False
HistGB_lr008_leaf31,c_vs_source_median,Otway Basin,Geographe,0.03323216736949518,0,none,False
HistGB_lr008_leaf31,c_vs_source_median,Otway Basin,Thylacine,-0.09505171217470301,0,none,False
HistGB_lr008_leaf31,c_vs_frozen_et,Bonaparte Basin,Montara,-1.7309009931590775,0,none,False
HistGB_lr008_leaf31,c_vs_frozen_et,Browse Basin,Ichthys,-1.9119594190038665,0,none,False
HistGB_lr008_leaf31,c_vs_frozen_et,Browse Basin,Prelude,-2.086354317321551,0,none,False
HistGB_lr008_leaf31,c_vs_frozen_et,Gippsland Basin,Cobia,-1.974937077927552,0,none,False
HistGB_lr008_leaf31,c_vs_frozen_et,Gippsland Basin,Fortescue,-2.1039944994706206,0,none,False
HistGB_lr008_leaf31,c_vs_frozen_et,Northern Carnarvon Basin,Gorgon,-1.9507039754256839,0,none,False
HistGB_lr008_leaf31,c_vs_frozen_et,Otway Basin,Geographe,-2.0881806341108855,0,none,False
HistGB_lr008_leaf31,c_vs_frozen_et,Otway Basin,Thylacine,-1.989307318586834,0,none,False
ExtraTrees_depth12_leaf30,c_vs_md_only,Bonaparte Basin,Montara,-0.7439598855768814,0,none,False
ExtraTrees_depth12_leaf30,c_vs_md_only,Browse Basin,Ichthys,-0.5445363849339303,0,none,False
ExtraTrees_depth12_leaf30,c_vs_md_only,Browse Basin,Prelude,-0.1936982593216857,0,none,False
ExtraTrees_depth12_leaf30,c_vs_md_only,Gippsland Basin,Cobia,-0.0019843575815365255,0,none,False
ExtraTrees_depth12_leaf30,c_vs_md_only,Gippsland Basin,Fortescue,-0.4266273950909825,0,none,False
ExtraTrees_depth12_leaf30,c_vs_md_only,Northern Carnarvon Basin,Gorgon,-0.12170606448010877,0,none,False
ExtraTrees_depth12_leaf30,c_vs_md_only,Otway Basin,Geographe,-0.6184867203099887,0,none,False
ExtraTrees_depth12_leaf30,c_vs_md_only,Otway Basin,Thylacine,-0.658725339942018,0,none,False
ExtraTrees_depth12_leaf30,c_vs_source_median,Bonaparte Basin,Montara,2.126070181060812,0,none,False
ExtraTrees_depth12_leaf30,c_vs_source_median,Browse Basin,Ichthys,2.0046230695704463,0,none,False
ExtraTrees_depth12_leaf30,c_vs_source_median,Browse Basin,Prelude,1.7687959611198363,0,none,False
ExtraTrees_depth12_leaf30,c_vs_source_median,Gippsland Basin,Cobia,1.6772161899700333,0,none,False
ExtraTrees_depth12_leaf30,c_vs_source_median,Gippsland Basin,Fortescue,1.9168082509447966,0,none,False
ExtraTrees_depth12_leaf30,c_vs_source_median,Northern Carnarvon Basin,Gorgon,1.6200006094337804,0,none,False
ExtraTrees_depth12_leaf30,c_vs_source_median,Otway Basin,Geographe,1.863129992107586,0,none,False
ExtraTrees_depth12_leaf30,c_vs_source_median,Otway Basin,Thylacine,1.6316939466346816,0,none,False
ExtraTrees_depth12_leaf30,c_vs_frozen_et,Bonaparte Basin,Montara,-0.20907268934484868,0,none,False
ExtraTrees_depth12_leaf30,c_vs_frozen_et,Browse Basin,Ichthys,-0.24760174123436865,0,none,False
ExtraTrees_depth12_leaf30,c_vs_frozen_et,Browse Basin,Prelude,-0.296595246628137,0,none,False
ExtraTrees_depth12_leaf30,c_vs_frozen_et,Gippsland Basin,Cobia,-0.23776939121926205,0,none,False
ExtraTrees_depth12_leaf30,c_vs_frozen_et,Gippsland Basin,Fortescue,-0.2401767480130257,0,none,False
ExtraTrees_depth12_leaf30,c_vs_frozen_et,Northern Carnarvon Basin,Gorgon,-0.21454976878477414,0,none,False
ExtraTrees_depth12_leaf30,c_vs_frozen_et,Otway Basin,Geographe,-0.258282809372793,0,none,False
ExtraTrees_depth12_leaf30,c_vs_frozen_et,Otway Basin,Thylacine,-0.2625616597774477,0,none,False
ExtraTrees_depth18_leaf100,c_vs_md_only,Bonaparte Basin,Montara,-0.5348871962320312,0,none,False
ExtraTrees_depth18_leaf100,c_vs_md_only,Browse Basin,Ichthys,-0.2969346436995607,0,none,False
ExtraTrees_depth18_leaf100,c_vs_md_only,Browse Basin,Prelude,0.10289698730645323,0,none,False
ExtraTrees_depth18_leaf100,c_vs_md_only,Gippsland Basin,Cobia,0.23578503363772776,0,none,False
ExtraTrees_depth18_leaf100,c_vs_md_only,Gippsland Basin,Fortescue,-0.18645064707795628,0,none,False
ExtraTrees_depth18_leaf100,c_vs_md_only,Northern Carnarvon Basin,Gorgon,0.09284370430466689,0,none,False
ExtraTrees_depth18_leaf100,c_vs_md_only,Otway Basin,Geographe,-0.36020391093719384,0,none,False
ExtraTrees_depth18_leaf100,c_vs_md_only,Otway Basin,Thylacine,-0.39616368016456827,0,none,False
ExtraTrees_depth18_leaf100,c_vs_source_median,Bonaparte Basin,Montara,2.3351428704056616,0,none,False
ExtraTrees_depth18_leaf100,c_vs_source_median,Browse Basin,Ichthys,2.2522248108048157,0,none,False
ExtraTrees_depth18_leaf100,c_vs_source_median,Browse Basin,Prelude,2.065391207747975,0,none,False
ExtraTrees_depth18_leaf100,c_vs_source_median,Gippsland Basin,Cobia,1.9149855811892975,0,none,False
ExtraTrees_depth18_leaf100,c_vs_source_median,Gippsland Basin,Fortescue,2.1569849989578223,0,none,False
ExtraTrees_depth18_leaf100,c_vs_source_median,Northern Carnarvon Basin,Gorgon,1.8345503782185557,0,none,False
ExtraTrees_depth18_leaf100,c_vs_source_median,Otway Basin,Geographe,2.1214128014803806,0,none,False
ExtraTrees_depth18_leaf100,c_vs_source_median,Otway Basin,Thylacine,1.894255606412131,0,none,False
ExtraTrees_depth18_leaf100,c_vs_frozen_et,Bonaparte Basin,Montara,0.0,0,none,True
ExtraTrees_depth18_leaf100,c_vs_frozen_et,Browse Basin,Ichthys,0.0,0,none,True
ExtraTrees_depth18_leaf100,c_vs_frozen_et,Browse Basin,Prelude,0.0,0,none,True
ExtraTrees_depth18_leaf100,c_vs_frozen_et,Gippsland Basin,Cobia,0.0,0,none,True
ExtraTrees_depth18_leaf100,c_vs_frozen_et,Gippsland Basin,Fortescue,0.0,0,none,True
ExtraTrees_depth18_leaf100,c_vs_frozen_et,Northern Carnarvon Basin,Gorgon,0.0,0,none,True
ExtraTrees_depth18_leaf100,c_vs_frozen_et,Otway Basin,Geographe,0.0,0,none,True
ExtraTrees_depth18_leaf100,c_vs_frozen_et,Otway Basin,Thylacine,0.0,0,none,True
MLP_64_32,c_vs_md_only,Bonaparte Basin,Montara,-4.164476329135593,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_md_only,Browse Basin,Ichthys,-3.040522473550337,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_md_only,Browse Basin,Prelude,-3.6103828254446633,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_md_only,Gippsland Basin,Cobia,-3.440836949784463,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_md_only,Gippsland Basin,Fortescue,-3.975539804901204,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_md_only,Northern Carnarvon Basin,Gorgon,-3.2344884752088574,5,ConvergenceWarning: frozen max_iter=80 retained,False
