candidate_id,contrast,basin_id,field_id,n_families,gain,warning_seed_count,fit_warning,self_comparison
HistGB_lr005_leaf15,c_vs_source_median,Gippsland Basin,Fortescue,2,0.8462506400317338,0,none,False
HistGB_lr005_leaf15,c_vs_source_median,Northern Carnarvon Basin,Gorgon,3,2.5881726576555693,0,none,False
HistGB_lr005_leaf15,c_vs_source_median,Otway Basin,Geographe,2,1.1575043172874198,0,none,False
HistGB_lr005_leaf15,c_vs_source_median,Otway Basin,Thylacine,2,2.2684524892627342,0,none,False
HistGB_lr005_leaf15,c_vs_frozen_et,Bonaparte Basin,Montara,3,-3.7758391541364027,0,none,False
HistGB_lr005_leaf15,c_vs_frozen_et,Browse Basin,Ichthys,2,-2.2400827820575984,0,none,False
HistGB_lr005_leaf15,c_vs_frozen_et,Browse Basin,Prelude,3,-0.3988590974077564,0,none,False
HistGB_lr005_leaf15,c_vs_frozen_et,Gippsland Basin,Cobia,2,-0.7624648013230626,0,none,False
HistGB_lr005_leaf15,c_vs_frozen_et,Gippsland Basin,Fortescue,2,-0.6298026224801418,0,none,False
HistGB_lr005_leaf15,c_vs_frozen_et,Northern Carnarvon Basin,Gorgon,3,-1.1449229500311802,0,none,False
HistGB_lr005_leaf15,c_vs_frozen_et,Otway Basin,Geographe,2,-0.5675543275665582,0,none,False
HistGB_lr005_leaf15,c_vs_frozen_et,Otway Basin,Thylacine,2,-1.0467065210689892,0,none,False
HistGB_lr008_leaf31,c_vs_md_only,Bonaparte Basin,Montara,3,-1.318935262130773,0,none,False
HistGB_lr008_leaf31,c_vs_md_only,Browse Basin,Ichthys,2,-1.7171941489445448,0,none,False
HistGB_lr008_leaf31,c_vs_md_only,Browse Basin,Prelude,3,-3.295251277762849,0,none,False
HistGB_lr008_leaf31,c_vs_md_only,Gippsland Basin,Cobia,2,-5.0053882778397565,0,none,False
HistGB_lr008_leaf31,c_vs_md_only,Gippsland Basin,Fortescue,2,-1.1463365620285018,0,none,False
HistGB_lr008_leaf31,c_vs_md_only,Northern Carnarvon Basin,Gorgon,3,-4.1744306900214125,0,none,False
HistGB_lr008_leaf31,c_vs_md_only,Otway Basin,Geographe,2,-0.0407607725319776,0,none,False
HistGB_lr008_leaf31,c_vs_md_only,Otway Basin,Thylacine,2,-0.4811555966087164,0,none,False
HistGB_lr008_leaf31,c_vs_source_median,Bonaparte Basin,Montara,3,-3.4910831205155226,0,none,False
HistGB_lr008_leaf31,c_vs_source_median,Browse Basin,Ichthys,2,-1.6432477223960775,0,none,False
HistGB_lr008_leaf31,c_vs_source_median,Browse Basin,Prelude,3,0.8853517872256015,0,none,False
HistGB_lr008_leaf31,c_vs_source_median,Gippsland Basin,Cobia,2,1.158270497378357,0,none,False
HistGB_lr008_leaf31,c_vs_source_median,Gippsland Basin,Fortescue,2,0.3676765238001493,0,none,False
HistGB_lr008_leaf31,c_vs_source_median,Northern Carnarvon Basin,Gorgon,3,1.5516852006604676,0,none,False
HistGB_lr008_leaf31,c_vs_source_median,Otway Basin,Geographe,2,0.5059848486241041,0,none,False
HistGB_lr008_leaf31,c_vs_source_median,Otway Basin,Thylacine,2,1.4039720054334914,0,none,False
HistGB_lr008_leaf31,c_vs_frozen_et,Bonaparte Basin,Montara,3,-3.7200312828925277,0,none,False
HistGB_lr008_leaf31,c_vs_frozen_et,Browse Basin,Ichthys,2,-2.452622301979005,0,none,False
HistGB_lr008_leaf31,c_vs_frozen_et,Browse Basin,Prelude,3,-1.2318580137552146,0,none,False
HistGB_lr008_leaf31,c_vs_frozen_et,Gippsland Basin,Cobia,2,-2.011778689513207,0,none,False
HistGB_lr008_leaf31,c_vs_frozen_et,Gippsland Basin,Fortescue,2,-1.1083767387117263,0,none,False
HistGB_lr008_leaf31,c_vs_frozen_et,Northern Carnarvon Basin,Gorgon,3,-2.1814104070262843,0,none,False
HistGB_lr008_leaf31,c_vs_frozen_et,Otway Basin,Geographe,2,-1.219073796229873,0,none,False
HistGB_lr008_leaf31,c_vs_frozen_et,Otway Basin,Thylacine,2,-1.911187004898233,0,none,False
ExtraTrees_depth12_leaf30,c_vs_md_only,Bonaparte Basin,Montara,3,1.8979947918010376,0,none,False
ExtraTrees_depth12_leaf30,c_vs_md_only,Browse Basin,Ichthys,2,0.5020302873003804,0,none,False
ExtraTrees_depth12_leaf30,c_vs_md_only,Browse Basin,Prelude,3,-1.953836591985332,0,none,False
ExtraTrees_depth12_leaf30,c_vs_md_only,Gippsland Basin,Cobia,2,-3.295833904166376,0,none,False
ExtraTrees_depth12_leaf30,c_vs_md_only,Gippsland Basin,Fortescue,2,-0.3233326416002544,0,none,False
ExtraTrees_depth12_leaf30,c_vs_md_only,Northern Carnarvon Basin,Gorgon,3,-2.4577819558763707,0,none,False
ExtraTrees_depth12_leaf30,c_vs_md_only,Otway Basin,Geographe,2,1.0196826349327894,0,none,False
ExtraTrees_depth12_leaf30,c_vs_md_only,Otway Basin,Thylacine,2,1.3013529723569937,0,none,False
ExtraTrees_depth12_leaf30,c_vs_source_median,Bonaparte Basin,Montara,3,-0.2741530665837117,0,none,False
ExtraTrees_depth12_leaf30,c_vs_source_median,Browse Basin,Ichthys,2,0.5759767138488474,0,none,False
ExtraTrees_depth12_leaf30,c_vs_source_median,Browse Basin,Prelude,3,2.226766473003119,0,none,False
ExtraTrees_depth12_leaf30,c_vs_source_median,Gippsland Basin,Cobia,2,2.867824871051738,0,none,False
ExtraTrees_depth12_leaf30,c_vs_source_median,Gippsland Basin,Fortescue,2,1.1906804442283967,0,none,False
ExtraTrees_depth12_leaf30,c_vs_source_median,Northern Carnarvon Basin,Gorgon,3,3.268333934805509,0,none,False
ExtraTrees_depth12_leaf30,c_vs_source_median,Otway Basin,Geographe,2,1.5664282560888712,0,none,False
ExtraTrees_depth12_leaf30,c_vs_source_median,Otway Basin,Thylacine,2,3.186480574399201,0,none,False
ExtraTrees_depth12_leaf30,c_vs_frozen_et,Bonaparte Basin,Montara,3,-0.5031012289607162,0,none,False
ExtraTrees_depth12_leaf30,c_vs_frozen_et,Browse Basin,Ichthys,2,-0.2333978657340765,0,none,False
ExtraTrees_depth12_leaf30,c_vs_frozen_et,Browse Basin,Prelude,3,0.10955667202230224,0,none,False
ExtraTrees_depth12_leaf30,c_vs_frozen_et,Gippsland Basin,Cobia,2,-0.30222431583982257,0,none,False
ExtraTrees_depth12_leaf30,c_vs_frozen_et,Gippsland Basin,Fortescue,2,-0.28537281828347716,0,none,False
ExtraTrees_depth12_leaf30,c_vs_frozen_et,Northern Carnarvon Basin,Gorgon,3,-0.46476167288123804,0,none,False
ExtraTrees_depth12_leaf30,c_vs_frozen_et,Otway Basin,Geographe,2,-0.15863038876510593,0,none,False
ExtraTrees_depth12_leaf30,c_vs_frozen_et,Otway Basin,Thylacine,2,-0.12867843593252282,0,none,False
ExtraTrees_depth18_leaf100,c_vs_md_only,Bonaparte Basin,Montara,3,2.4010960207617558,0,none,False
ExtraTrees_depth18_leaf100,c_vs_md_only,Browse Basin,Ichthys,2,0.7354281530344622,0,none,False
ExtraTrees_depth18_leaf100,c_vs_md_only,Browse Basin,Prelude,3,-2.063393264007635,0,none,False
ExtraTrees_depth18_leaf100,c_vs_md_only,Gippsland Basin,Cobia,2,-2.9936095883265565,0,none,False
ExtraTrees_depth18_leaf100,c_vs_md_only,Gippsland Basin,Fortescue,2,-0.0379598233167683,0,none,False
ExtraTrees_depth18_leaf100,c_vs_md_only,Northern Carnarvon Basin,Gorgon,3,-1.9930202829951305,0,none,False
ExtraTrees_depth18_leaf100,c_vs_md_only,Otway Basin,Geographe,2,1.1783130236978945,0,none,False
ExtraTrees_depth18_leaf100,c_vs_md_only,Otway Basin,Thylacine,2,1.4300314082895156,0,none,False
ExtraTrees_depth18_leaf100,c_vs_source_median,Bonaparte Basin,Montara,3,0.2289481623770057,0,none,False
ExtraTrees_depth18_leaf100,c_vs_source_median,Browse Basin,Ichthys,2,0.8093745795829292,0,none,False
