candidate_id,mean_outer_worst2_MAE,mean_outer_mean_MAE,mean_outer_rank_worst2,mean_outer_rank_mean,LayerD_gain_vs_SourceMedian,LayerD_rank
ExtraTrees_depth12_leaf30,17.257016333932484,11.56328287100853,2.4,1.7,1.8260422751052463,2.0
ExtraTrees_depth18_leaf100,17.013477523103923,11.514166383619907,1.0,1.3,2.07186853190208,1.0
HistGB_lr005_leaf15,18.350037886102136,12.324273413588278,4.5,3.8,0.751089499893118,5.0
HistGB_lr008_leaf31,18.651064808521646,12.78268252413648,4.9,5.3,0.09232625252632137,6.0
MLP_64_32,21.261557735757993,14.148289728904178,6.7,6.6,-1.4406881629013688,8.0
MLP_96_48,22.0137449511219,14.558855790740926,7.5,7.8,-1.125158362898964,7.0
Ridge_alpha_1,18.107363415495264,12.65334660880959,4.3,5.3,1.3598614546571626,4.0
Ridge_alpha_100,18.125943960924044,12.640103568265252,4.7,4.2,1.373589707284636,3.0
